year,formation,oil_bbl,gas_mcf,wells,computed_at
2015,ABCK,0.0,0.0,3,2026-04-23T13:57:37.026244
2015,ALMD,11809.0,337953.0,12,2026-04-23T13:57:37.026244
2015,APSP,0.0,62.0,2,2026-04-23T13:57:37.026244
2015,ATOK,1157.0,584.0,17,2026-04-23T13:57:37.026244
2015,BCKHN,55.0,114150.0,13,2026-04-23T13:57:37.026244
2015,BKCK,0.0,0.0,2,2026-04-23T13:57:37.026244
2015,BLFF,0.0,0.0,1,2026-04-23T13:57:37.026244
2015,BLIN,0.0,0.0,1,2026-04-23T13:57:37.026244
2015,BRCN,0.0,0.0,1,2026-04-23T13:57:37.026244
2015,BXTR,446.0,121496.0,8,2026-04-23T13:57:37.026244
2015,CARL,1113.0,2.0,5,2026-04-23T13:57:37.026244
2015,CCRWF,0.0,0.0,1,2026-04-23T13:57:37.026244
2015,CD-CRL,1018011.0,4006849.0,44,2026-04-23T13:57:37.026244
2015,CD-FH,4430063.0,16982445.0,182,2026-04-23T13:57:37.026244
2015,CDHL,0.0,0.0,1,2026-04-23T13:57:37.026244
2015,CDMTN,34.0,249140.0,27,2026-04-23T13:57:37.026244
2015,CHIN,0.0,0.0,1,2026-04-23T13:57:37.026244
2015,CHRK,403124.0,471051.0,82,2026-04-23T13:57:37.026244
2015,CLCDFH,1479165.0,6293611.0,89,2026-04-23T13:57:37.026244
2015,CMEO,2099.0,942711.0,40,2026-04-23T13:57:37.026244
2015,CMEOC,0.0,61511.0,44,2026-04-23T13:57:37.026244
2015,COZZ,25495.0,7076009.0,1259,2026-04-23T13:57:37.026244
2015,CRCRN,37448.0,10826062.0,1539,2026-04-23T13:57:37.026244
2015,CRKE,0.0,0.0,2,2026-04-23T13:57:37.026244
2015,CRTS,96.0,0.0,2,2026-04-23T13:57:37.026244
2015,CSGMN,0.0,416.0,1,2026-04-23T13:57:37.026244
2015,CSLGT,2.0,107440.0,27,2026-04-23T13:57:37.026244
2015,CTARK,50.0,46556.0,3,2026-04-23T13:57:37.026244
2015,CTHRM,25.0,30676.0,1,2026-04-23T13:57:37.026244
2015,CTLR,694.0,798161.0,61,2026-04-23T13:57:37.026244
2015,CZ-CR,0.0,0.0,11,2026-04-23T13:57:37.026244
2015,Codell,15775008.0,80980072.0,4072,2026-04-23T13:57:37.026244
2015,D Sand,380883.0,2017126.0,851,2026-04-23T13:57:37.026244
2015,DGCK,0.0,0.0,4,2026-04-23T13:57:37.026244
2015,DJSND,0.0,0.0,1,2026-04-23T13:57:37.026244
2015,DK-LK,0.0,0.0,2,2026-04-23T13:57:37.026244
2015,DK-PR,0.0,0.0,1,2026-04-23T13:57:37.026244
2015,DKTA,47394.0,17962695.0,1097,2026-04-23T13:57:37.026244
2015,DMEDG,0.0,0.0,1,2026-04-23T13:57:37.026244
2015,DSCR,89795.0,292356.0,37,2026-04-23T13:57:37.026244
2015,DSMS,0.0,0.0,2,2026-04-23T13:57:37.026244
2015,EMRY,33.0,51092.0,17,2026-04-23T13:57:37.026244
2015,ENBMR,0.0,0.0,1,2026-04-23T13:57:37.026244
2015,ENRD,0.0,2999493.0,28,2026-04-23T13:57:37.026244
2015,ENTNG,0.0,103346.0,1,2026-04-23T13:57:37.026244
2015,FMNG,0.0,0.0,2,2026-04-23T13:57:37.026244
2015,FRLD,0.0,2499433.0,22,2026-04-23T13:57:37.026244
2015,FRLDC,0.0,312005729.0,2334,2026-04-23T13:57:37.026244
2015,FRPCL,0.0,158740.0,1,2026-04-23T13:57:37.026244
2015,FRSC,9442.0,16402.0,7,2026-04-23T13:57:37.026244
2015,FRTR,2933.0,115489.0,26,2026-04-23T13:57:37.026244
2015,FT-WS,0.0,57217.0,2,2026-04-23T13:57:37.026244
2015,FTHYS,342012.0,1538603.0,17,2026-04-23T13:57:37.026244
2015,FTLN,0.0,0.0,1,2026-04-23T13:57:37.026244
2015,FTUN,55983.0,6098520.0,231,2026-04-23T13:57:37.026244
2015,FTUNC,0.0,0.0,1,2026-04-23T13:57:37.026244
2015,Fox Hills,3.0,10752.0,12,2026-04-23T13:57:37.026244
2015,GLLP,4929.0,9315.0,19,2026-04-23T13:57:37.026244
2015,GLMC,0.0,0.0,1,2026-04-23T13:57:37.026244
2015,GOSH,0.0,0.0,13,2026-04-23T13:57:37.026244
2015,GRRS,700.0,8146.0,11,2026-04-23T13:57:37.026244
2015,GRRV,0.0,0.0,2,2026-04-23T13:57:37.026244
2015,Greenhorn,74790.0,521156.0,84,2026-04-23T13:57:37.026244
2015,HNKRT,2587.0,1304877.0,83,2026-04-23T13:57:37.026244
2015,HOVS,9.0,32878.0,4,2026-04-23T13:57:37.026244
2015,HRMS,808.0,1344482.0,46,2026-04-23T13:57:37.026244
2015,ILES,357.0,268163.0,29,2026-04-23T13:57:37.026244
2015,ILESC,0.0,0.0,2,2026-04-23T13:57:37.026244
2015,IS-DC,4090.0,263698.0,6,2026-04-23T13:57:37.026244
2015,ISMY,12667.0,167379.0,44,2026-04-23T13:57:37.026244
2015,J Sand,1130914.0,23357771.0,6808,2026-04-23T13:57:37.026244
2015,J-2,0.0,0.0,1,2026-04-23T13:57:37.026244
2015,J-CDL,215.0,0.0,1,2026-04-23T13:57:37.026244
2015,KEYES,9824.0,58245.0,11,2026-04-23T13:57:37.026244
2015,KRTLD,0.0,0.0,1,2026-04-23T13:57:37.026244
2015,LASAL,54.0,68235.0,4,2026-04-23T13:57:37.026244
2015,LDVLL,2807.0,506447709.0,6,2026-04-23T13:57:37.026244
2015,LEWS,42.0,31602.0,5,2026-04-23T13:57:37.026244
2015,LFTUN,77.0,60380.0,6,2026-04-23T13:57:37.026244
2015,LG-MR,0.0,0.0,1,2026-04-23T13:57:37.026244
2015,LGKC,4912.0,278.0,10,2026-04-23T13:57:37.026244
2015,LISMY,62.0,1262.0,2,2026-04-23T13:57:37.026244
2015,LKTA,4911.0,2779.0,41,2026-04-23T13:57:37.026244
2015,LNCE,338.0,280789.0,29,2026-04-23T13:57:37.026244
2015,LNSNG,30713.0,18477.0,43,2026-04-23T13:57:37.026244
2015,LOYD,179.0,53354.0,4,2026-04-23T13:57:37.026244
2015,LSNGB,190.0,0.0,2,2026-04-23T13:57:37.026244
2015,LSNGD,0.0,0.0,2,2026-04-23T13:57:37.026244
2015,LW-MV,0.0,18805.0,3,2026-04-23T13:57:37.026244
2015,LWIS,5743.0,1822261.0,193,2026-04-23T13:57:37.026244
2015,LYNS,350226.0,20.0,50,2026-04-23T13:57:37.026244
2015,MCCL,55.0,214116.0,18,2026-04-23T13:57:37.026244
2015,MDDY,56681.0,2510.0,68,2026-04-23T13:57:37.026244
2015,MDDYD,2324.0,15303.0,1,2026-04-23T13:57:37.026244
2015,MDDYJ,7290.0,5323.0,14,2026-04-23T13:57:37.026244
2015,ME-PL,0.0,61740.0,1,2026-04-23T13:57:37.026244
2015,MENF,0.0,0.0,3,2026-04-23T13:57:37.026244
2015,MN-EM,0.0,0.0,1,2026-04-23T13:57:37.026244
2015,MNCAB,0.0,67333.0,18,2026-04-23T13:57:37.026244
2015,MNCS,66110.0,19505948.0,308,2026-04-23T13:57:37.026244
2015,MNCSA,118.0,293664.0,24,2026-04-23T13:57:37.026244
2015,MNCSB,131571.0,6197170.0,725,2026-04-23T13:57:37.026244
2015,MNKP,2930.0,0.0,2,2026-04-23T13:57:37.026244
2015,MNRN,2540.0,99854.0,4,2026-04-23T13:57:37.026244
2015,MR-KY,4413.0,5331.0,1,2026-04-23T13:57:37.026244
2015,MR-MN,0.0,0.0,1,2026-04-23T13:57:37.026244
2015,MRPS,0.0,2204.0,2,2026-04-23T13:57:37.026244
2015,MRRW,738688.0,4572820.0,328,2026-04-23T13:57:37.026244
2015,MRRW5,0.0,36925.0,3,2026-04-23T13:57:37.026244
2015,MRRW7,20445.0,11811.0,7,2026-04-23T13:57:37.026244
2015,MRRWA,1832.0,5474.0,4,2026-04-23T13:57:37.026244
2015,MRRWB,169033.0,877566.0,58,2026-04-23T13:57:37.026244
2015,MRRWU,0.0,0.0,1,2026-04-23T13:57:37.026244
2015,MRSN,72974.0,412818.0,137,2026-04-23T13:57:37.026244
2015,MRTN,128640.0,49618.0,65,2026-04-23T13:57:37.026244
2015,MRV11,1581.0,0.0,5,2026-04-23T13:57:37.026244
2015,MS-SL,845.0,0.0,1,2026-04-23T13:57:37.026244
2015,MS-SP,9746.0,0.0,7,2026-04-23T13:57:37.026244
2015,MSSP,106536.0,1093561.0,62,2026-04-23T13:57:37.026244
2015,MVDK,0.0,0.0,2,2026-04-23T13:57:37.026244
2015,MVRD,8258.0,17039773.0,934,2026-04-23T13:57:37.026244
2015,MVRDC,0.0,71647.0,33,2026-04-23T13:57:37.026244
2015,MWRY,0.0,1644.0,2,2026-04-23T13:57:37.026244
2015,N-COM,129949.0,624048.0,112,2026-04-23T13:57:37.026244
2015,N-T-C,778.0,5551.0,6,2026-04-23T13:57:37.026244
2015,NAVA,0.0,0.0,1,2026-04-23T13:57:37.026244
2015,NB-CD,6642288.0,75987141.0,12893,2026-04-23T13:57:37.026244
2015,NB-FH,144609.0,846241.0,11,2026-04-23T13:57:37.026244
2015,NB-TM,835.0,10523.0,11,2026-04-23T13:57:37.026244
2015,NBFHC,2755495.0,11606225.0,205,2026-04-23T13:57:37.026244
2015,NCMN,0.0,0.0,1,2026-04-23T13:57:37.026244
2015,NESLC,0.0,0.0,2,2026-04-23T13:57:37.026244
2015,NEVA,129.0,0.0,2,2026-04-23T13:57:37.026244
2015,NGSD,0.0,822851.0,4,2026-04-23T13:57:37.026244
2015,Niobrara,76563665.0,377508516.0,8648,2026-04-23T13:57:37.026244
2015,OHCRK,3211.0,205786.0,57,2026-04-23T13:57:37.026244
2015,OSAGE,130503.0,0.0,9,2026-04-23T13:57:37.026244
2015,OSND,51806.0,0.0,17,2026-04-23T13:57:37.026244
2015,PAWN,1986.0,1725.0,1,2026-04-23T13:57:37.026244
2015,PAWNA,12413.0,72432.0,6,2026-04-23T13:57:37.026244
2015,PAWNB,2133.0,659.0,2,2026-04-23T13:57:37.026244
2015,PCCF,298.0,1727037.0,145,2026-04-23T13:57:37.026244
2015,PNATK,0.0,0.0,1,2026-04-23T13:57:37.026244
2015,PNLK,0.0,30729.0,1,2026-04-23T13:57:37.026244
2015,POCNC,0.0,0.0,1,2026-04-23T13:57:37.026244
2015,PRDX,210.0,322865.0,5,2026-04-23T13:57:37.026244
2015,PRKM,891.0,1291.0,7,2026-04-23T13:57:37.026244
2015,PRRE,38142.0,190911.0,115,2026-04-23T13:57:37.026244
2015,PRREA,0.0,0.0,1,2026-04-23T13:57:37.026244
2015,PRREB,37755.0,2086.0,74,2026-04-23T13:57:37.026244
2015,PSPR,0.0,0.0,1,2026-04-23T13:57:37.026244
2015,RCRD,1894.0,0.0,7,2026-04-23T13:57:37.026244
2015,RCZCR,0.0,0.0,1,2026-04-23T13:57:37.026244
2015,RDCV,0.0,105936.0,13,2026-04-23T13:57:37.026244
2015,RLNS,18954.0,4465690.0,1291,2026-04-23T13:57:37.026244
2015,RT-VJ,0.0,37622345.0,1064,2026-04-23T13:57:37.026244
2015,RTON,0.0,20864490.0,525,2026-04-23T13:57:37.026244
2015,RTONS,0.0,349963.0,21,2026-04-23T13:57:37.026244
2015,RTS-VJ,0.0,105896.0,9,2026-04-23T13:57:37.026244
2015,SECSG,0.0,0.0,1,2026-04-23T13:57:37.026244
2015,SEGO,24301.0,4504844.0,363,2026-04-23T13:57:37.026244
2015,SHWNE,36557.0,0.0,19,2026-04-23T13:57:37.026244
2015,SIMSN,1606.0,634.0,3,2026-04-23T13:57:37.026244
2015,SLTW,1641.0,18659.0,7,2026-04-23T13:57:37.026244
2015,SMKH,0.0,2988.0,1,2026-04-23T13:57:37.026244
2015,SNDC,155977.0,29000.0,26,2026-04-23T13:57:37.026244
2015,SNSD,5193.0,65554.0,70,2026-04-23T13:57:37.026244
2015,SPABK,0.0,0.0,1,2026-04-23T13:57:37.026244
2015,SPGN,747640.0,153184.0,89,2026-04-23T13:57:37.026244
2015,SRMP,41052.0,19379.0,16,2026-04-23T13:57:37.026244
2015,STLS,9412.0,7509.0,10,2026-04-23T13:57:37.026244
2015,SUDD,0.0,0.0,1,2026-04-23T13:57:37.026244
2015,SUSX,293395.0,1798557.0,1196,2026-04-23T13:57:37.026244
2015,SX-CD,0.0,0.0,1,2026-04-23T13:57:37.026244
2015,SX-SN,46534.0,289294.0,304,2026-04-23T13:57:37.026244
2015,TMPS,172.0,4587.0,6,2026-04-23T13:57:37.026244
2015,TOPK,1828.0,324983.0,107,2026-04-23T13:57:37.026244
2015,TOPKA,0.0,183.0,1,2026-04-23T13:57:37.026244
2015,TOPKB,0.0,5265.0,1,2026-04-23T13:57:37.026244
2015,TOPKC,0.0,2056.0,2,2026-04-23T13:57:37.026244
2015,TORCH,12939.0,11727.0,6,2026-04-23T13:57:37.026244
2015,TORON,0.0,0.0,1,2026-04-23T13:57:37.026244
2015,TP-CD,109.0,599.0,3,2026-04-23T13:57:37.026244
2015,TPBT,0.0,0.0,1,2026-04-23T13:57:37.026244
2015,TRDD,0.0,0.0,1,2026-04-23T13:57:37.026244
2015,UNK,0.0,0.0,1,2026-04-23T13:57:37.026244
2015,VRGL,0.0,0.0,2,2026-04-23T13:57:37.026244
2015,VRMJ,0.0,19874794.0,1384,2026-04-23T13:57:37.026244
2015,WBNS,0.0,1528.0,12,2026-04-23T13:57:37.026244
2015,WEBR,3766986.0,286825.0,591,2026-04-23T13:57:37.026244
2015,WF-OC,0.0,0.0,1,2026-04-23T13:57:37.026244
2015,WFCM,979576.0,362460034.0,7355,2026-04-23T13:57:37.026244
2015,WFCMC,4637.0,879077.0,22,2026-04-23T13:57:37.026244
2015,WFCMP,0.0,0.0,2,2026-04-23T13:57:37.026244
2015,WFCMS,2222.0,316832.0,1,2026-04-23T13:57:37.026244
2015,WFCRCC,0.0,0.0,1,2026-04-23T13:57:37.026244
2015,WFILS,0.0,0.0,18,2026-04-23T13:57:37.026244
2015,WFOCCM,0.0,0.0,30,2026-04-23T13:57:37.026244
2015,WMFK,880335.0,206027740.0,4700,2026-04-23T13:57:37.026244
2015,WMFKC,600.0,89410.0,45,2026-04-23T13:57:37.026244
2015,WNGT,0.0,0.0,1,2026-04-23T13:57:37.026244
2015,WRSW,2635.0,0.0,7,2026-04-23T13:57:37.026244
2015,WSTC,13283.0,3713863.0,263,2026-04-23T13:57:37.026244
2015,WSTCA,20.0,399208.0,20,2026-04-23T13:57:37.026244
2015,WSTCB,0.0,0.0,1,2026-04-23T13:57:37.026244
2015,WSTCD,0.0,0.0,1,2026-04-23T13:57:37.026244
2015,WSTCF,0.0,0.0,2,2026-04-23T13:57:37.026244
2015,WSTCG,144.0,511677.0,30,2026-04-23T13:57:37.026244
2015,WSTFG,0.0,1780.0,1,2026-04-23T13:57:37.026244
2015,ADMI,0.0,0.0,1,2026-04-23T13:57:37.026244
2015,AMZN,0.0,0.0,1,2026-04-23T13:57:37.026244
2015,COUGR,0.0,0.0,1,2026-04-23T13:57:37.026244
2015,DJ-LK,0.0,0.0,1,2026-04-23T13:57:37.026244
2015,DJINJ,0.0,0.0,14,2026-04-23T13:57:37.026244
2015,JNBCD,425.0,6774.0,1,2026-04-23T13:57:37.026244
2015,LKMR,0.0,0.0,1,2026-04-23T13:57:37.026244
2015,N-COM1,24.0,882.0,1,2026-04-23T13:57:37.026244
2015,N-COM2,470.0,113.0,1,2026-04-23T13:57:37.026244
2015,NB-SR,0.0,0.0,2,2026-04-23T13:57:37.026244
2015,NBCDCL,112416.0,251609.0,6,2026-04-23T13:57:37.026244
2015,NFCC,1152566.0,4885114.0,66,2026-04-23T13:57:37.026244
2015,PENN,0.0,0.0,1,2026-04-23T13:57:37.026244
2015,SHSP,9511.0,14954.0,6,2026-04-23T13:57:37.026244
2016,ABCK,6035.0,0.0,3,2026-04-23T13:57:37.026244
2016,ALMD,9867.0,279037.0,12,2026-04-23T13:57:37.026244
2016,APSP,0.0,0.0,2,2026-04-23T13:57:37.026244
2016,ATOK,1596.0,24226.0,14,2026-04-23T13:57:37.026244
2016,BCKHN,63.0,110270.0,13,2026-04-23T13:57:37.026244
2016,BKCK,0.0,0.0,2,2026-04-23T13:57:37.026244
2016,BLFF,0.0,0.0,1,2026-04-23T13:57:37.026244
2016,BLIN,0.0,0.0,1,2026-04-23T13:57:37.026244
2016,BRCN,0.0,0.0,1,2026-04-23T13:57:37.026244
2016,BXTR,148.0,113432.0,7,2026-04-23T13:57:37.026244
2016,CARL,1058.0,2.0,6,2026-04-23T13:57:37.026244
2016,CCRWF,0.0,0.0,1,2026-04-23T13:57:37.026244
2016,CD-CRL,1077059.0,5873732.0,49,2026-04-23T13:57:37.026244
2016,CD-FH,4434952.0,25785742.0,226,2026-04-23T13:57:37.026244
2016,CDHL,0.0,0.0,1,2026-04-23T13:57:37.026244
2016,CDMTN,158.0,251657.0,26,2026-04-23T13:57:37.026244
2016,CHIN,0.0,0.0,1,2026-04-23T13:57:37.026244
2016,CHRK,228670.0,285404.0,74,2026-04-23T13:57:37.026244
2016,CLCDFH,2418854.0,12391524.0,126,2026-04-23T13:57:37.026244
2016,CMEO,1471.0,839148.0,36,2026-04-23T13:57:37.026244
2016,CMEOC,0.0,36577.0,41,2026-04-23T13:57:37.026244
2016,COZZ,23039.0,6248399.0,1249,2026-04-23T13:57:37.026244
2016,CRCRN,38585.0,10537858.0,1518,2026-04-23T13:57:37.026244
2016,CRKE,0.0,0.0,2,2026-04-23T13:57:37.026244
2016,CRTS,36.0,0.0,2,2026-04-23T13:57:37.026244
2016,CSGMN,0.0,110.0,1,2026-04-23T13:57:37.026244
2016,CSLGT,0.0,119622.0,26,2026-04-23T13:57:37.026244
2016,CTARK,11.0,32718.0,3,2026-04-23T13:57:37.026244
2016,CTHRM,18.0,42410.0,1,2026-04-23T13:57:37.026244
2016,CTLR,183.0,488430.0,60,2026-04-23T13:57:37.026244
2016,CZ-CR,0.0,0.0,9,2026-04-23T13:57:37.026244
2016,Codell,10797047.0,83481387.0,3775,2026-04-23T13:57:37.026244
2016,D Sand,334975.0,1587095.0,808,2026-04-23T13:57:37.026244
2016,DGCK,0.0,0.0,2,2026-04-23T13:57:37.026244
2016,DJSND,0.0,0.0,1,2026-04-23T13:57:37.026244
2016,DK-LK,0.0,0.0,3,2026-04-23T13:57:37.026244
2016,DK-PR,0.0,0.0,1,2026-04-23T13:57:37.026244
2016,DKTA,35252.0,16000993.0,1067,2026-04-23T13:57:37.026244
2016,DMEDG,0.0,0.0,1,2026-04-23T13:57:37.026244
2016,DSCR,76247.0,249345.0,37,2026-04-23T13:57:37.026244
2016,DSMS,0.0,0.0,2,2026-04-23T13:57:37.026244
2016,EMRY,51.0,49137.0,17,2026-04-23T13:57:37.026244
2016,ENBLM,0.0,0.0,1,2026-04-23T13:57:37.026244
2016,ENBMR,0.0,0.0,1,2026-04-23T13:57:37.026244
2016,ENRD,0.0,2500336.0,27,2026-04-23T13:57:37.026244
2016,ENTNG,5.0,125866.0,1,2026-04-23T13:57:37.026244
2016,FMNG,0.0,0.0,2,2026-04-23T13:57:37.026244
2016,FRLD,0.0,2001926.0,21,2026-04-23T13:57:37.026244
2016,FRLDC,0.0,295253072.0,2353,2026-04-23T13:57:37.026244
2016,FRPCL,0.0,125941.0,1,2026-04-23T13:57:37.026244
2016,FRSC,19034.0,32847.0,6,2026-04-23T13:57:37.026244
2016,FRTR,2876.0,94384.0,25,2026-04-23T13:57:37.026244
2016,FT-WS,10.0,53356.0,2,2026-04-23T13:57:37.026244
2016,FTHYS,324705.0,1821245.0,22,2026-04-23T13:57:37.026244
2016,FTLN,0.0,0.0,1,2026-04-23T13:57:37.026244
2016,FTUN,43706.0,5643415.0,223,2026-04-23T13:57:37.026244
2016,FTUNC,0.0,0.0,1,2026-04-23T13:57:37.026244
2016,Fox Hills,1.0,11536.0,10,2026-04-23T13:57:37.026244
2016,GLLP,4598.0,2623.0,20,2026-04-23T13:57:37.026244
2016,GOSH,0.0,0.0,6,2026-04-23T13:57:37.026244
2016,GRNT,0.0,0.0,1,2026-04-23T13:57:37.026244
2016,GRRS,681.0,7811.0,11,2026-04-23T13:57:37.026244
2016,GRRV,0.0,0.0,2,2026-04-23T13:57:37.026244
2016,Greenhorn,67204.0,531767.0,85,2026-04-23T13:57:37.026244
2016,HNKRT,3448.0,1034373.0,82,2026-04-23T13:57:37.026244
2016,HOVS,4.0,32241.0,4,2026-04-23T13:57:37.026244
2016,HRMS,788.0,862254.0,42,2026-04-23T13:57:37.026244
2016,ILES,786.0,684208.0,39,2026-04-23T13:57:37.026244
2016,ILESC,0.0,0.0,2,2026-04-23T13:57:37.026244
2016,IS-DC,3223.0,256005.0,6,2026-04-23T13:57:37.026244
2016,ISMY,13488.0,126981.0,42,2026-04-23T13:57:37.026244
2016,J Sand,962880.0,19624059.0,6517,2026-04-23T13:57:37.026244
