operator,oil_bbl,gas_mcf,wells,years_active,computed_at
KERR MCGEE OIL & GAS ONSHORE LP,325957364.0,2690625191.0,8277,10,2026-04-23T13:57:38.538486
PDC ENERGY INC,308293394.0,2413859060.0,6654,10,2026-04-23T13:57:38.538486
NOBLE ENERGY INC,272093157.0,1566694269.0,7838,10,2026-04-23T13:57:38.538486
EXTRACTION OIL & GAS INC,137138774.0,821702064.0,1593,10,2026-04-23T13:57:38.538486
CRESTONE PEAK RESOURCES OPERATING LLC,107521813.0,687304067.0,2168,10,2026-04-23T13:57:38.538486
BONANZA CREEK ENERGY OPERATING COMPANY LLC,56738145.0,213667071.0,859,10,2026-04-23T13:57:38.538486
HIGHPOINT OPERATING CORPORATION,45788711.0,180640397.0,491,10,2026-04-23T13:57:38.538486
VERDAD RESOURCES LLC,45610223.0,115278161.0,507,10,2026-04-23T13:57:38.538486
BISON IV OPERATING LLC,40567341.0,89139439.0,455,10,2026-04-23T13:57:38.538486
PRAIRIE OPERATING CO LLC,37344166.0,119664984.0,433,10,2026-04-23T13:57:38.538486
FUNDARE RESOURCES OPERATING COMPANY LLC,31157565.0,81018219.0,360,10,2026-04-23T13:57:38.538486
SCOUT ENERGY MANAGEMENT LLC,30741236.0,2627588.0,707,10,2026-04-23T13:57:38.538486
CIVITAS NORTH LLC,15508643.0,33496928.0,99,10,2026-04-23T13:57:38.538486
TEP ROCKY MOUNTAIN LLC,9652150.0,2825101615.0,7247,10,2026-04-23T13:57:38.538486
FULCRUM ENERGY OPERATING LLC,8803516.0,11520368.0,86,10,2026-04-23T13:57:38.538486
PROVIDENCE OPERATING LLC DBA POCO OPERATING,7586295.0,25560020.0,73,10,2026-04-23T13:57:38.538486
1876 RESOURCES LLC,7366347.0,48010135.0,67,9,2026-04-23T13:57:38.538486
PETRO OPERATING COMPANY LLC,5578621.0,21073694.0,53,10,2026-04-23T13:57:38.538486
CONFLUENCE DJ LLC,4896604.0,20752396.0,39,7,2026-04-23T13:57:38.538486
BAYSWATER EXPLORATION & PRODUCTION LLC,4833413.0,10688710.0,121,10,2026-04-23T13:57:38.538486
QB ENERGY OPERATING LLC,4608939.0,1867005586.0,5164,10,2026-04-23T13:57:38.538486
MULL DRILLING COMPANY INC,4114906.0,19565490.0,144,10,2026-04-23T13:57:38.538486
CITATION OIL & GAS CORP,3849090.0,18978493.0,188,10,2026-04-23T13:57:38.538486
DUNAMIS ENERGY OPERATING LLC,3015207.0,4205253.0,20,10,2026-04-23T13:57:38.538486
POLARIS PRODUCTION OPCO LLC,2757001.0,902449.0,23,10,2026-04-23T13:57:38.538486
