model,region,commodity,mae,rmse,mape,grade,has_ci,explainable,handles_seasonality
"SARIMA(1,1,1)(1,1,0)[12]",Permian,oil,6018.3,8110.7,3.87,A,True,True,True
ETS (Holt-Winters),Permian,oil,5938.8,6585.1,3.76,A,True,True,True
XGBoost (lag features),Permian,oil,16044.4,17370.5,10.13,C,False,False,True
Linear Regression,Permian,oil,34000.6,34580.5,21.7,D,False,True,True
"SARIMA(1,1,1)(1,1,0)[12]",Permian,gas,36003.7,45038.7,2.47,A,True,True,True
ETS (Holt-Winters),Permian,gas,54243.8,61854.2,3.58,A,True,True,True
XGBoost (lag features),Permian,gas,102156.1,118281.4,6.66,B,False,False,True
Linear Regression,Permian,gas,66431.9,72229.7,4.38,A,False,True,True
"SARIMA(1,1,1)(1,1,0)[12]",Bakken,oil,7466.3,7988.6,19.3,D,True,True,True
ETS (Holt-Winters),Bakken,oil,1334.4,1502.7,3.45,A,True,True,True
XGBoost (lag features),Bakken,oil,1459.2,1959.8,3.79,A,False,False,True
Linear Regression,Bakken,oil,1025.6,1211.4,2.65,A,False,True,True
"SARIMA(1,1,1)(1,1,0)[12]",Bakken,gas,17331.5,28336.2,11.65,C,True,True,True
ETS (Holt-Winters),Bakken,gas,13067.9,31885.6,7.22,B,True,True,True
XGBoost (lag features),Bakken,gas,15204.1,33857.9,8.85,B,False,False,True
Linear Regression,Bakken,gas,15193.1,28476.0,9.7,B,False,True,True
"SARIMA(1,1,1)(1,1,0)[12]",Eagle Ford,oil,9845.3,11773.6,5.71,B,True,True,True
ETS (Holt-Winters),Eagle Ford,oil,7812.8,8790.3,4.51,A,True,True,True
XGBoost (lag features),Eagle Ford,oil,6641.1,7843.8,3.71,A,False,False,True
Linear Regression,Eagle Ford,oil,12287.0,14431.3,7.12,B,False,True,True
"SARIMA(1,1,1)(1,1,0)[12]",Eagle Ford,gas,129887.2,288276.0,7.62,B,True,True,True
ETS (Holt-Winters),Eagle Ford,gas,136737.9,296012.0,8.11,B,True,True,True
XGBoost (lag features),Eagle Ford,gas,185549.9,326565.3,12.0,C,False,False,True
Linear Regression,Eagle Ford,gas,146195.8,296090.5,8.95,B,False,True,True
"SARIMA(1,1,1)(1,1,0)[12]",Appalachia,oil,759.4,893.5,12.83,C,True,True,True
ETS (Holt-Winters),Appalachia,oil,733.3,872.8,12.31,C,True,True,True
XGBoost (lag features),Appalachia,oil,1144.5,1321.5,19.31,D,False,False,True
Linear Regression,Appalachia,oil,1075.2,1210.8,18.26,D,False,True,True
"SARIMA(1,1,1)(1,1,0)[12]",Appalachia,gas,141807.6,344153.1,7.64,B,True,True,True
ETS (Holt-Winters),Appalachia,gas,139924.8,336796.6,7.57,B,True,True,True
XGBoost (lag features),Appalachia,gas,152285.4,345357.5,8.55,B,False,False,True
Linear Regression,Appalachia,gas,221913.1,299686.0,15.77,D,False,True,True
"SARIMA(1,1,1)(1,1,0)[12]",Gulf Coast,oil,6868.0,8058.3,3.76,A,True,True,True
ETS (Holt-Winters),Gulf Coast,oil,3986.4,4573.8,2.18,A,True,True,True
XGBoost (lag features),Gulf Coast,oil,7392.0,7819.3,4.03,A,False,False,True
Linear Regression,Gulf Coast,oil,7502.7,8861.2,4.11,A,False,True,True
"SARIMA(1,1,1)(1,1,0)[12]",Gulf Coast,gas,232460.9,532618.2,9.39,B,True,True,True
ETS (Holt-Winters),Gulf Coast,gas,245178.7,533386.4,10.24,C,True,True,True
XGBoost (lag features),Gulf Coast,gas,256949.5,549185.6,10.84,C,False,False,True
Linear Regression,Gulf Coast,gas,218482.7,478167.2,9.22,B,False,True,True
